	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	1.0	1.0	2.0	1.0
birth_weight	2.0	3.0	1.0	2.0
bmi	1.0	1.0	1.0	1.0
dbp	0.0	5.0	3.0	4.0
fvc	0.0	1.0	3.0	2.0
hair_color	8.0	7.0	8.0	3.0
hand_grip_strength	0.0	0.0	1.0	1.0
height	3.0	3.0	4.0	6.0
hip_circ	1.0	1.0	0.0	4.0
household_income	0.0	2.0	5.0	2.0
neuroticism_score	1.0	3.0	0.0	1.0
overall_health	2.0	1.0	0.0	2.0
pack_years_smoking	0.0	0.0	0.0	1.0
pulse_rate	1.0	0.0	1.0	0.0
skin_color	7.0	7.0	8.0	5.0
waist_circ	1.0	1.0	1.0	1.0
years_schooling	1.0	1.0	1.0	3.0
