	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	3.0	2.0	0.0	0.0
birth_weight	1.0	0.0	0.0	2.0
bmi	1.0	0.0	2.0	1.0
dbp	0.0	4.0	5.0	2.0
fvc	1.0	1.0	3.0	1.0
hair_color	7.0	7.0	9.0	6.0
hand_grip_strength	1.0	0.0	2.0	1.0
height	2.0	2.0	4.0	3.0
hip_circ	1.0	3.0	3.0	2.0
household_income	2.0	1.0	1.0	3.0
neuroticism_score	0.0	1.0	1.0	1.0
overall_health	2.0	2.0	1.0	1.0
pack_years_smoking	0.0	0.0	0.0	0.0
pulse_rate	1.0	1.0	2.0	1.0
skin_color	5.0	6.0	4.0	4.0
waist_circ	1.0	2.0	0.0	1.0
years_schooling	0.0	0.0	1.0	1.0
