	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,s,	,,	,,	,s,	,,	,,	,,c	,,	,,c	,,
birth_weight	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
bmi	,,	,,	,,	,,	,,c	,,	,,	,,c	,,	,,
dbp	,,	,,	,,	,,	,,	d,s,c	d,s,c	,,	d,s,c	,,
fvc	,s,	,,	,,	,,	,,	,,	,,	,,	,,	,,
hair_color	,s,c	,s,c	d,s,c	,,	,,	,s,c	d,s,c	,,	,,	,,
hand_grip_strength	,,	d,,	,,	,,	,,	,,	,,	,,	,,	,,
height	,,	d,s,c	,s,c	,,	,,	,,	,,	,,	,,	,,
hip_circ	,,	,,	,,	,,	,,	,,	,,c	,,	,,	,,
household_income	,,	,,	d,s,c	,,	,,	,,	,,	,,	,,	,,
neuroticism_score	,,	,,	,,	,,	,,	,,	,,	,,	,,	d,s,c
overall_health	,,	,,	,,	d,s,c	,,	,,	,s,c	,,	,,	,,
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	d,,	,,
skin_color	,,	d,s,c	,,	d,s,c	,,	,,	,,	,,	,,	d,s,c
waist_circ	,,	,,	,,	,,	,,	,,	,s,	,,	,,	,,
years_schooling	,,	d,,c	,,	,,	,,	,,	,,	,,	,,c	,,
