	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,	,,	,,	,,	,,	d,s,c	,,	,,	,,
birth_weight	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,c
bmi	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
dbp	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,c
fvc	,s,	,,	,,	,,	,,	,,	d,,	,,	,,	,,
hair_color	d,s,c	,s,c	d,s,	,,	,,	,,	,,	,,	,,	,,
hand_grip_strength	,,	,,	,,	,,	d,s,c	d,s,c	,,	,,	,,	,,
height	,,	d,s,c	,s,	,,	,,	,,	,,	,,	,,	,,
hip_circ	,,	,,	,,	,,	,,	,,	,,c	,,	,,	,,
household_income	,,	,,c	,,	,,	,,	,,	,,	,,	,,	,,
neuroticism_score	,,	,,	,,	d,s,c	,,	,,	,,	,,	,,	,,
overall_health	,s,c	,s,	,,	,s,	,,	,,	,,	,,	,,	,s,
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,	,,	,,c	,,
pulse_rate	,,	,,	,,c	,,	,,	,,	,,	,,	,,	,,
skin_color	,,	d,s,c	,,	d,s,c	,,	,,	,,	,,	,,	d,s,c
waist_circ	,,	d,s,c	,,	,,	,,	,,	,,	,,	,,	,,
years_schooling	d,s,c	,,	,,	,,	,,	,,	,,	d,s,c	,,	,,
