	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,	,,	,,	,,	,,	,,	,s,	,,	,,
birth_weight	d,s,c	,,	,,	,,	,,c	,,	,,	,,	,s,c	,,
bmi	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
dbp	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
fvc	,,	,,	,,	,,	,,	,,	,,	,,	d,s,c	,,
hair_color	,,	,,	d,s,c	d,s,c	d,s,c	,,	,,	,,	,,	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
height	,,	,,	,,	,s,c	,s,c	,,	,,	d,,	d,s,c	,,
hip_circ	,s,	,,	,,	,,	,,	,,	,,	,,	,,	,,
household_income	,,	,,	,,	,,	,,	,,	,,	,,c	,,	,,c
neuroticism_score	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
overall_health	,,	,,	,,	,,	,,	,,	,,c	,,	,,	,,
pack_years_smoking	,,	,,	,,c	,,	,,c	,,	,,	,,c	,,	d,s,c
pulse_rate	d,s,c	,,	,,	,,	,,	,,	,,	,,	,,	,,
skin_color	,,	,,	,s,c	d,s,c	,s,	,,	,,	d,s,c	,s,	,,
waist_circ	d,s,c	,,	,,	,,	,,	,,	,,	,,	,,	,,
years_schooling	,,	,,	,,	,,	,,	,,	,,	,,	d,,	,,
