	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,s,	,,	,,	,,c	,,	,,	,,	,,	d,,	,,
birth_weight	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
bmi	,,	d,,c	,,	,,	,,	,,	,,	,,	,,	d,s,c
dbp	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
fvc	,,	,,	,,	,,	,,	,,	,,	,,	,,	d,s,c
hair_color	,,	,,	,,	d,s,c	d,s,c	,,	,,	,s,	,s,c	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
height	,,	,,	,,	,,	,s,	,,	,,	,,	,,	d,,
hip_circ	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
household_income	,,	,,	,,	,,c	,,c	,,	,,	,,	,,	,,
neuroticism_score	,,	,,	,,	,,	,,	,,c	,,c	,,	,,	,,
overall_health	,s,	,,	,,	,,	,,	,,	,,	,,c	,,	,,
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,	,,	,,c	,,
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
skin_color	,,	,,	,s,	d,s,c	,,	,,	,,	d,s,c	,s,	,,
waist_circ	,,	,,	,,	,,	d,s,c	,,	,,	d,s,c	,,	,,
years_schooling	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
