	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,c	,,	,,	,,	,,	,,	,,	,,	,,
birth_weight	,,c	,s,	,,	,,c	d,s,c	,,	,,	,,	,,	d,s,c
bmi	,,	,s,c	,,c	,,	,,	d,,	,,	,,	,,	d,,
dbp	,,	,,	,,	,,	,,	,,	,s,	,,	,,	,,
fvc	,,c	,s,c	,,c	,,	,,	,,	d,s,c	,,	,,	,,
hair_color	,s,c	,s,	,s,	,s,c	,,c	,s,	d,s,c	d,s,c	d,s,c	,,
hand_grip_strength	,s,	,,	,,c	,,	,,	,,	,,	d,s,c	,,	,,
height	,s,c	d,,c	,s,c	,,c	,,	,,c	,,	,,c	,,	d,,
hip_circ	,,	,,	,,	,,	,,	,s,	,s,	,,	,,	,,
household_income	,s,	d,s,c	,,	,,	d,s,c	,,	,,	,,	,,	,,
neuroticism_score	,,	,,c	,,c	,,	,,	,,	,,	,,	,,	,,
overall_health	,,	,s,c	,,c	,,	,,	,,	,,	d,,c	,,	,,
pack_years_smoking	,,	,s,c	,,c	,s,	,,	,,	,,	,,c	,,c	,,
pulse_rate	,,	,,	,,c	d,s,c	,,	,,	,,	,,	,,	,,
skin_color	,,	,s,	d,,	d,,c	,,	,,c	,,	,,c	,,	,,c
waist_circ	,,	,,c	,,	,,	,,	,,	,s,	,,	,,	,,
years_schooling	,,	,,	,,	,,	,,	,,	,,	,,	,,c	,,
