	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
birth_weight	,,	,,	,,	,,	,,	,,	,,	,,	,,	d,s,c
bmi	d,s,c	,,c	,,	,,	,,	,,c	,,	,,	,,	,,
dbp	,,	,,	,,	,,	d,s,c	,,	,,	,,	,,	,,
fvc	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
hair_color	,,	,,	,s,	d,s,c	d,s,c	,,	,,	,s,	,s,c	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
height	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
hip_circ	,,	,,	,,	,,	,,	d,s,c	,,	,,	,,	,,
household_income	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
neuroticism_score	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
overall_health	,,	,,	,,c	,,	,,	,,	,,	,,	,,	,,
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,	,,	,,	,s,c
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,c
skin_color	,,	,,	,s,c	d,s,c	,,	,,	,,	d,s,c	,,	,,
waist_circ	d,s,c	,,	,,	,,	,,	,,	,,	,,	,,	,,
years_schooling	,s,c	,,	,,	,,	,,	,,	,,	,,	,,	,,
