	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	d,s,c	,,	,,	,,	,,	,,	,,	,,c	,,	,,
birth_weight	,,	,s,c	,,	,,	,,	,,	,,	,,	,,	,,
bmi	,,	,,	,,	d,s,c	,,	,,	d,s,c	,,	,,	,,
dbp	,,	,,	,,	,,	,,	,,	d,s,c	,,	,,	,,
fvc	d,s,c	,,	,,	,,	,,	,,	,,	,,	,,	,,
hair_color	d,s,c	d,s,c	d,s,c	d,s,c	,,	d,s,c	d,s,c	d,,	,,	,,
hand_grip_strength	,,c	,,	,,c	,,	,,	,,	,,	,,	,,	,,
height	,s,	d,s,c	d,s,c	,,	d,,	,,	,,	,,	,,	,,
hip_circ	,,	,,	,,	,,	,,	,,	d,s,c	,,	,,	,,
household_income	,,	,s,c	,,	d,s,c	,,	,,	,,	,,	,,	,,
neuroticism_score	,,	,,	,,	,,c	,,	,,	,s,c	,,	,,	,,
overall_health	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
skin_color	,,	d,s,c	,,	d,s,c	,,	,,	,,	,,	,,	d,s,c
waist_circ	,,	,,	,,	,,	,,	,,	,s,	,,	,,	,,
years_schooling	d,s,c	,,	,,	,,	,,	,,	,,	,,	,,	,,
