	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,	,,	,,	,,	,,	,,	,s,	,,	,,
birth_weight	,,	,,	,,	,,	,,	,,	,,	d,s,c	,s,c	,,
bmi	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,c
dbp	,,	,,	,,	d,s,c	,,	,,	,,	,,	,,	d,s,c
fvc	,,	,,	,,	,,	d,s,c	,,	,,	,,	,,	,,
hair_color	,,	,,	d,s,c	d,s,c	d,s,c	,s,	,,	d,s,c	d,s,	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
height	,,	,,	,,	,,	,s,c	,,	,,	d,s,c	,,	,,
hip_circ	,s,	,,	,,	,,	,,	,,	,,	,,	,,	,,
household_income	,,	,,	,,	d,s,c	,,	,,	,,	,,	,,	,,
neuroticism_score	,,	,,	,,	,,	,,	,,	,,c	,,	,,	,,
overall_health	,,	,,	,,	,,	,,	,,c	,,	,,	,,c	d,s,c
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
skin_color	,,	,,	d,s,c	d,s,c	,s,	,,	,,	d,s,c	,,	,,
waist_circ	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
years_schooling	,,	,,	,,	,,c	,,	,,	,,	,,	,,	,,
