	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	d,,	,,	,s,	,,	,,	,,	,,	,,	d,,
birth_weight	,,	,,	d,s,c	,,	d,s,c	,,	,,	,,	d,s,c	,,
bmi	,,	,,	,,	,,	,,	,,	,s,	,,	,,	,,
dbp	,,	,s,c	,s,	,,	,,	,,	,,	,,	,,	,,
fvc	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
hair_color	d,s,c	d,s,c	d,s,c	,,	,,	d,s,	d,s,c	,,	,,	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
height	,,	,,	d,s,c	,,	,,	,,	,,	,,	,,	,,
hip_circ	,,	,,	,,	,,	,,	,,	,s,	,,	,,	,,
household_income	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
neuroticism_score	,,	,,	,,	,,	,,	,,	,,	d,,	,,	,,
overall_health	d,,	,s,	,,	,s,	,s,	,,	,,	,,	,,	,,
pack_years_smoking	,,	,,	,,	,,	,,	,,	,s,c	,,	,,	,,
pulse_rate	,,	,,	,,	d,,	,,	,,	,,	,,	,,	,,
skin_color	,,	d,s,c	,,	d,s,c	,,	,,	,,	,,	,,	d,s,c
waist_circ	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
years_schooling	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,c
