	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,s,c	,,	,,	,s,c	d,,c	,,	,,c	,,	,,	,,
birth_weight	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
bmi	,,	,,	,,	,,	,,	,,	,,	,,	,,c	,,
dbp	,,	,,	,,	,,	,,	d,,c	d,s,c	,,	d,s,c	,,
fvc	,s,	,s,	,,	,,	,,	,,	,,	,,	,,	,,
hair_color	,s,c	,s,	d,s,c	,,	,,	d,s,c	d,s,c	,,	,,	,,
hand_grip_strength	,,	d,s,c	,s,	,,	,,	,,c	,,	,,	,,	,,
height	,,	,,	d,s,c	,,	,,	,,	,,	,,	,,	,,
hip_circ	,,	,,	,,	,,	,,	,,	,s,	d,s,c	,,	,,
household_income	,,	,s,c	,,	,,	,,	,,	,,	,,	,,	,,
neuroticism_score	,,	,,	,,	,,	,,	,,	,,	,,c	,,	d,s,c
overall_health	,,	,,	,,	d,s,c	,,	,,	,,	,,c	,,	,,c
pack_years_smoking	,,	,,	,,	,,	,,	d,,c	,,	,,	,,	,,
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	d,,	,,
skin_color	,,	d,s,c	,,	d,s,c	,,	,,	,,	,,	,,	d,s,
waist_circ	,,	,,	,,	,,	,,	,,	,s,	,,	,,	,,
years_schooling	,,	d,,	,,	,,	,,	,,	,,	,,	,,	,,
