	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,	d,s,c	,,	d,,	,,	,,	,,	,,	d,s,c
birth_weight	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
bmi	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
dbp	,,	,,	,,	,,	,,	,,	,,	,,c	d,s,c	,,
fvc	,,	,,	,,	,,	,,	,,	,,	,,	,,	d,s,c
hair_color	d,s,c	,s,c	d,s,c	,,	,,	,,	d,s,c	,,	,,	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
height	,,	,,	,s,c	d,s,c	,,	,,	,,	,,	,,	,,
hip_circ	,,	,,	,s,c	,,	,,	,,	,,	,,	,,	,s,
household_income	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,c
neuroticism_score	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
overall_health	,,	,,	d,s,c	d,s,c	,,	,,	,,	,,	,,	,,
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,	,,c	,,	,,
pulse_rate	,,	,,	,,	d,,c	,,	,,	,,	,,	,,	,,
skin_color	,,	d,s,c	,,	d,s,c	,,c	,,	,,	,,c	,,	d,s,c
waist_circ	,,	,,	,,	,,	,,	,,	,,	,,	d,,	,,
years_schooling	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
