	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	d,s,c	,,	,,	,s,	d,,	,,	,,	,,	,,	,,
birth_weight	,,	d,s,c	,s,	,,	d,s,c	,,	,,	,,	,,	,,
bmi	,,	,,	,,	,,	,,	,,	d,s,c	,,	,,	,,
dbp	,,	,s,c	,,	,,	,,	,,	,,	,,	,,	,,
fvc	d,s,c	,,	,,	,,	,,	,,	,,	,,	,,	d,s,c
hair_color	d,s,c	d,s,c	d,s,c	,,	,,	d,,	d,s,c	,,	,,	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
height	,,	,,	d,s,c	,,	,,	,,	,,	,,	,,	,,
hip_circ	,,	,,	,,	,,	,,	,,	,s,	d,,	,,	,,
household_income	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
neuroticism_score	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
overall_health	,,	,,	,,	,s,c	,,	,,	,,	,,	,,	,s,c
pack_years_smoking	,,	d,s,c	,,	,,	,,	,,	,,	,,c	,,	d,s,c
pulse_rate	,,	,,	,,	d,s,c	,,	,,	,,c	,,	,,	,,
skin_color	,,	d,s,c	,,	d,s,c	,,	,,	,,	,,	,,	d,s,c
waist_circ	,,	,,	,,	,,	,,	,,	d,s,c	,,	,,	,,
years_schooling	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
