	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,c	,,	,,	,,	,,	,,	,,	,,	d,,	,,
birth_weight	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
bmi	d,s,c	,,	,,	,,	,,	,,	,,	,,	,,	,,
dbp	,,	,,	d,,	,,	,s,c	,,	d,,c	d,s,c	,,	,,
fvc	,,	,,	,,	,,	,,	,,	d,s,c	,,	,,	,,
hair_color	,,	,,	,,	d,s,c	d,s,c	,,	,,	,s,	,s,	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	,,	,,c	,,	,,
height	,,	,,	,,	,,	,,	,,	,,	,,	,,	d,,
hip_circ	d,s,c	,,	,,	,,	,,	,,	,,	,,	,,	,,
household_income	,,	,,	d,s,c	,,	d,,c	,,	,,	,,c	,,	,,
neuroticism_score	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
overall_health	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pack_years_smoking	,,	,s,	,,	,,	,,	,,	,,	,s,c	,,	,,
pulse_rate	,,	,,	d,,	,,	,,	,,	,,	,,	,,	,,
skin_color	,,	,,	,s,	d,s,c	,,	,,	,,	d,s,c	,s,	,,
waist_circ	,s,	,,	,,	,,	,,	,,	,,	,,	,,	,,
years_schooling	,,	,,c	,,	,,	,,	,,	,,	,,	,,	,,
