	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,	,,	,,	d,,	,,	d,,	,,	,,	,,
birth_weight	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
bmi	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
dbp	,,	,,	,,	,,	,,	d,s,c	d,s,c	,,	d,s,c	,,
fvc	,s,	,,	,,	,,	,,	,,	,,	,,	,,	,,
hair_color	,s,	,s,c	d,s,c	,,	,,	d,,c	d,s,c	,,	,,	,,
hand_grip_strength	,,	d,,	,s,	,,	,,	,,	,,	,,	,,	,,
height	,,	d,s,c	,s,c	,,	,,	,,	,,	,,	,,	,,
hip_circ	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
household_income	,,	,,	d,s,c	,,	,,	,,	,,	,,	,,	,,
neuroticism_score	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
overall_health	,,	,,	,,	d,s,c	,,	,,	,,	,,c	,,	,,
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	d,,c	,,
skin_color	,,	d,s,c	,,	d,s,c	,,	,,	,,	,,	,,	d,s,c
waist_circ	,,	,,	,,	,,	,,	,,	,s,	,,	,,	,,
years_schooling	,,	d,,c	,,	,,	,,	,,	,,	,,	,,	,,
