	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,	,,	,s,	d,,	,,	,,c	,,	,,	,,
birth_weight	,,	,,	,,	,,	,,	,,	,,	,,c	,,	,,
bmi	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
dbp	,,	,,	,,	,,	,,	d,,c	d,s,c	,,	d,s,c	,,
fvc	,s,	,s,	,,	,,c	,,	,,	,,	,,	,,	,,
hair_color	,s,	,s,c	d,s,c	,,	,,	d,s,c	d,s,c	,,	,,	,,
hand_grip_strength	,,	d,,	,,	,s,	,,	,,	,,	,,	,,	,,
height	,,	,,	d,s,c	,,	,,	,,	,,	,,	,,	,,
hip_circ	,,	,,	,,	,,	,,	,,	,,	d,s,c	,,	,,
household_income	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
neuroticism_score	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
overall_health	,,	,,	,,	d,s,c	,,	d,s,c	d,,c	,,	,,	,,
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
skin_color	,,	d,s,c	,,	d,s,c	,,	,,	,,	,,	,,	d,s,c
waist_circ	,,	,,	,,	,,	,,	,,	,s,	,,	,,	,,
years_schooling	d,,c	d,,c	,,	,,	,,	,,	,,	,,	,,	,,
