	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
birth_weight	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
bmi	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
dbp	,,	,,	,,	,,	,,	,,	,,	,,	d,,c	,,
fvc	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
hair_color	d,s,c	,s,	d,s,c	,,	,,	,s,	,,	,,	,,	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
height	,,	,,	,s,	d,s,c	,,	,,	,,	,,	,,	,,
hip_circ	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
household_income	,,	,,	,,	,,c	,,	,,	,,	,,	,,	,,c
neuroticism_score	,,	,,	,,	,s,	,,	,,	,,	,,	,,	,,
overall_health	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pulse_rate	,,	,,	,,	,s,	,,	,,	,,	,,	,,	,,
skin_color	,,	d,s,c	,,	d,s,	,,	,,	,,	,,	,,	d,s,c
waist_circ	,,	,,	,,	d,,	,,	,,	,,	,,	,,	,,
years_schooling	,,	,,	,,c	,,	,,	,,	,,	,,	,,	,,
