	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,	,,	,,	,,	d,,c	,,	,,	,s,	,,
birth_weight	,,	,,	,,	,,	,,c	d,s,c	,,	,,	,,	d,s,c
bmi	,,	,,	,,	,,	,,	,,	,,	,,c	,,	,,
dbp	,,	,,	d,,c	,,	,,	,,	,,	d,s,c	,,	,,
fvc	,,	,s,c	,,c	,s,c	,,c	,,	,,	,,	,,	,,
hair_color	,,	,,	,,c	,s,	,s,c	,,	,,	,,	d,,	,,
hand_grip_strength	,,	,,	,,	,,	,,	,s,c	,,	,,	,,	,,c
height	,,	,,	,,	,,	d,s,c	,,	d,s,c	d,s,c	,s,c	,,
hip_circ	,,	,,	,,	,,	,,	,s,	,,	,s,	,s,	,,
household_income	,,	,,	,,	,,	,s,c	,,	,,	d,s,c	,,	,,
neuroticism_score	,,	,,	,,	,,	,,	,,	d,s,c	,,	,,	,,
overall_health	,,	,,c	,,	d,,c	,,	,,	,,	,,	,s,c	,,
pack_years_smoking	,,	,,	d,,	d,s,c	,,c	,,	,,	,,	,,	,,
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
skin_color	,,	,,	d,,	,s,c	,,c	,,	,,	,,	,,	,,
waist_circ	,,	,,	,,	,,	,,	,,	,,	,,c	,,	,,
years_schooling	,,	d,s,c	,,	,,	,,	,,	,,	,s,c	,s,c	,,
