	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,s,	,,	,,	,,	,,	,,	,,	,,	,,
birth_weight	,,	,,	,,	,,	,,	,,	,,	,,	,,	,s,
bmi	,,	,s,	,,	,,	,,	,,	,s,c	,,	,,	,,
dbp	,,	,,	d,,c	,,	d,,	d,,	d,s,c	,,	,,	d,s,c
fvc	,s,	,s,c	,s,c	,,	,,	,,	,,	,,	,,	,,
hair_color	d,s,c	,,	d,s,c	d,s,c	,,	d,s,c	d,s,c	,s,	,,	,,
hand_grip_strength	,,c	,,	,,c	d,s,c	,,	,,	,,	d,,c	,,	,,
height	,s,	,,c	d,s,c	,,	,,	,s,	,,	,,	,,	,,
hip_circ	,,	,,	,,	,,	,,	,,	,s,	d,s,c	,,	,,
household_income	,s,	,s,c	,,	,,	,,	,,	,,	,,	,,	,,
neuroticism_score	,,	,,	,,	,,c	,,	,,	,,	,,	,,	,,
overall_health	,,	,,c	,,	,,	,,	,,	,,	,,	,,	,,
pack_years_smoking	,,	,,c	,,c	,,	,,	,,	,,	,,	,,	,,
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	d,,	,,
skin_color	,,	d,s,c	,,	d,s,c	,,	,,	,,	,,	,,	,,
waist_circ	,,	,s,	,,	,,	,,	,,	,,	,,	,,	,,
years_schooling	,,	,,	,,	,,	,,c	,,	,,	,,	,,	,,
