	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
birth_weight	,,	,,	,,	,,	,,	d,s,c	,,	,,	,,	d,s,c
bmi	,,c	,,c	,,	,,c	,,	,,	,,	,,c	,,	,,
dbp	,,	,,	,,	,,	,s,	,,	,,	d,s,c	,,	,,
fvc	,,	,,	,,	,s,c	,,c	,,	,,	,s,	,,c	,,
hair_color	,,	,,	,,	,s,	,s,c	,,	,,	,s,	d,s,c	,,
hand_grip_strength	,,	,,	,,	,,	,s,	,,	,,	,,	,,	,,c
height	,,	,,	,,	,,	d,s,c	,,	d,s,c	d,,	,,	,,
hip_circ	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
household_income	,,	,,	,,	,,	,s,	,,	,,	,s,c	,,	,,
neuroticism_score	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
overall_health	,,	,,c	,,	,,	,,	,,	,,	,,	d,s,c	,,
pack_years_smoking	,,	,,	d,s,c	d,,	,s,c	,,c	,,	,,c	,,c	,,c
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
skin_color	,,	,,	,,	,,	,,	,,	,,	,s,c	,,c	,,
waist_circ	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
years_schooling	,,	,,	,,	,,	,,	,,	,,	,s,c	,,	,,
