	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,	,s,	,,	,,	,,	,,	,,	,,	,,
birth_weight	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
bmi	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
dbp	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
fvc	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
hair_color	,,	d,s,	,s,	d,s,c	d,s,c	,s,	,,	d,s,c	d,s,c	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
height	,,	,,	,,	,,	,s,	,,	,,	,s,	,,	,,
hip_circ	d,s,c	,,	,,	,,	,,	d,,	,,	,,	,,	,,
household_income	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
neuroticism_score	,,	,,	d,,c	,,	d,,c	,,	,,	,,	,,	,,
overall_health	,,	,,	,,	,,	d,,	,,	,,	,,	,,	,s,c
pack_years_smoking	,,c	,,	,,	,,c	,,	,,	,,c	,,	,,	,,
pulse_rate	,,	,,	,,	,,	,,	d,s,	,,	,,	,,	,,
skin_color	,,	,,	d,s,c	d,s,c	,,	,,	,,	d,s,c	d,s,	,,
waist_circ	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
years_schooling	,,	,,	,,c	,,	,,	,,	,,	,,	,,	,,
