	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,s,	,,	,,	,,	,,	,,	,,	,,c	,,
birth_weight	,,c	,,	,,	,,	d,,c	,,	,,	,,	,,	,s,c
bmi	,,	,,	,,	,,	,,	,,	,s,c	,,	,,	,,
dbp	,,	,,	,,	,,	d,s,c	d,s,c	d,s,c	,s,	d,,c	,,
fvc	,s,c	,s,	,s,	,,	,,	,,	,,	,,	,,	,,
hair_color	,s,c	,s,c	d,s,c	d,s,c	,,	d,s,c	d,s,c	,,	,,	,,
hand_grip_strength	,,	,,	,,c	,,	,,	,,	d,s,c	d,s,c	,,	,,
height	,s,	d,s,c	d,s,c	,,	d,s,c	,,	,,	,,	,,	,,
hip_circ	,,	,,	,,	,,	,,	,,	,,	,,	,s,c	,,
household_income	,,	d,s,c	,,	,,	,,	,,	,,	,,	,,	,,
neuroticism_score	,,	,,	,,	,,c	,,	,,	,,	,,	,,	,,
overall_health	,,	,,	,,	,,	,,	,,	,s,	,,	,,	,,
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pulse_rate	,,	,,	,,	,,	,,c	,,	d,s,c	,,	,,	,,
skin_color	,,	d,s,c	,,	d,s,c	,,	,,	,,	,,	,s,	,s,
waist_circ	,,	,,	,,c	d,,	,,	,,	,,	,,	,,	,,
years_schooling	,,	,,c	,,	,,	,,	,,	,,	,,	,,	,,
