	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,	,,	,,	,,c	,,	,,	,,	,,c	,,
birth_weight	,,c	,,	,,	,,	,,	,,	,,	,,	,,	,,
bmi	,,	,,	,,	,,	,,	,,	d,s,c	,,	,,	,,
dbp	,,	,,	,,	,,	d,s,c	d,s,c	d,s,c	d,s,c	,,	d,s,c
fvc	,s,c	,,	,s,	,,	,,	,,	,,	,,	,,	,,
hair_color	d,s,c	,s,c	d,s,c	d,s,c	,,	d,s,c	d,s,c	d,s,c	,,	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	d,s,c	d,s,c	,,	,,
height	,s,	d,s,c	d,s,c	,,	d,s,c	,,	,,	,,	,,	,,
hip_circ	,,	,,	,,	,,	,,	,,	,s,	,,	,,	,,
household_income	,,	,s,c	,,	,,	,,	,,	,,	,,	,,	,,
neuroticism_score	,,	,,	,,	,,c	,,	,,	,,	,,	,,	,,
overall_health	,,	,,	,,	,,	,,	,,c	,,	,,	,,	,,
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	d,,	,,
skin_color	,,	d,s,c	,,	d,s,c	,,c	,,	,,	,,c	,,	,,
waist_circ	,,	,,	,,	d,,	,,	,,	,,	,,	,,	,,
years_schooling	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
