	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,	d,s,c	,,	,,	,,	,,	,,	,,	d,s,c
birth_weight	,,	,,	,,	,,	,s,	,,	,,	,,	,,	,,
bmi	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
dbp	,,	,,	,,	,,	,,	,,	,,	,,	d,,	,,
fvc	,,	,,	,,	,,	,,	,,	,,	,,	,,	d,,
hair_color	d,s,c	,s,c	d,s,c	,,	,,	,s,	d,s,c	,,	,,	,,
hand_grip_strength	,,	,,	,,	,,	,,	d,,	,,	,s,	,,	,s,c
height	,,	,,	,s,	d,s,	,,	,,	,,	,,	,,	,,
hip_circ	,,	,,	,,	,,	,,	,,	,,	,,	,,	,s,
household_income	,,	,,	,,	,,	,,	,,	,,	,,	,,	d,s,c
neuroticism_score	,,	,,	,s,	,,	,,	,,	,,	,,	,,	,,
overall_health	,,	,,	d,s,c	d,s,c	,,	,,	,,	,,	,,	,,
pack_years_smoking	,,	,,	,,c	,,	,,	,,	,,	,,	,,	,,
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
skin_color	,,	d,s,c	,,	d,s,c	,,	,,	,,	,,	,,	d,s,c
waist_circ	,,	,,	,,	,,	,,	,,	,,	,,	d,,	,,
years_schooling	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
