	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,c	,,	,,	,,	,,	,,	,,	,,	,,
birth_weight	,,	,,	,,	,,	,,	,,	,,	,,	d,s,c	,,
bmi	,s,	,,	,,c	,,c	,,	,,	,,c	,,c	,,	,,
dbp	,,	,,	,,	,s,c	,,	,,	,,	,,	,,	,,
fvc	,,	,,	,,	,,	,s,	,,	,,	,,	d,s,c	,,
hair_color	,,	,,	d,s,c	d,s,c	d,s,c	,,	,,	d,s,c	,s,	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
height	,,	,,	,,	,,	,,	,,	,,	d,s,c	d,s,c	,,
hip_circ	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
household_income	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
neuroticism_score	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
overall_health	,,	,,	,,	,,	,,c	,,	,,	,,	,,	,,
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
skin_color	,,	,,	,s,c	d,s,c	,s,c	,,	,,	d,s,c	,,	,,
waist_circ	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
years_schooling	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
