	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,	,,	,,	,,	d,,	,,	,,	,,	,,
birth_weight	,,	,,	,,	,,	,,c	d,,	,,	,,	,,	d,s,c
bmi	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
dbp	,,	,,	,,	,,	,s,	,,	,,	d,s,c	,,	,,
fvc	,,	,,	,,c	,,	,,c	,,	,,	,,	,,	,,
hair_color	,,	,,	,,c	,s,	,s,c	,,	,,	,,	d,,	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,c
height	,,	,,	,,	,,c	d,s,c	,,	d,s,c	d,s,c	,,	,,
hip_circ	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
household_income	,,	,,	,,	,,	,,	,,	,,	,s,c	,,	,,
neuroticism_score	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
overall_health	,,	,,	,,	,,	,,	,,	,,	,,	d,,	,,
pack_years_smoking	,,	,,	d,s,c	d,s,c	d,,c	,,	,,	,,	,,	,,
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
skin_color	,,	,,	,,	,,	,,	,,	,,	,,c	,,	,,
waist_circ	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
years_schooling	,,	,,	,,	,,	,,	,,	,,	,s,c	,s,	,,
