	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
birth_weight	,,	,,	,,	,,	,,	,,	,,	,,	,,	d,,
bmi	,,	,,	,,	,s,	,,	,,	,,	,,	,s,c	,,
dbp	,,	,s,	,,	,,	,,	,,	,,	,,	,,	,,
fvc	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
hair_color	d,s,c	,s,	d,s,c	,,	,,	,,	,,	,,	,,	,,
hand_grip_strength	,,	,,	,s,	,,	,,	,,	,,	,,	,,	,,
height	,,	,,	,,	,,	,,	,,	,,	d,,	,,	,,
hip_circ	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
household_income	,,c	,,	,,	,,	,,	,,	,,	,,	,,c	,,
neuroticism_score	,,	,,	,,	,,	,,	,,	,,	,,	,,c	,,
overall_health	,,	,,	,,c	,s,	,,c	,,	,,	,,	,,	,,
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
skin_color	,,	d,s,c	,,	d,s,c	,,	,,	,,	,,	,,	d,s,c
waist_circ	,,	,s,	,,	,,	,,	,,	,,	,,	d,,	,,
years_schooling	,,	,,	,s,c	d,,	,,	,,	,,	,,	,,	,,
