	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
birth_weight	,,	,,	,,	,,	,,c	,,c	,,	,,	d,s,c	,,
bmi	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
dbp	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
fvc	,,	,,	,,	,,	,s,	,,	,,	,,	d,s,c	,,c
hair_color	,,	,,	d,s,c	d,s,c	d,s,c	,,	,,	d,s,c	,,	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	,,c	,,	,,	,,
height	,,	,,	,,	,,	,s,c	,,	,,	d,s,c	d,s,c	,,
hip_circ	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
household_income	,,c	,,	,,	,,c	,,	,,	,,	,,c	,,	,,
neuroticism_score	,,	,,c	,,	,,c	,,	,,	,,	,,c	,,	,,
overall_health	,,	,,	,,	,,	,,	,,	,,	,s,	,,	,,c
pack_years_smoking	,,	,,	,,	,s,	,,	,,	,,	,,	,,	d,,
pulse_rate	,,	,,c	,,c	,,	d,s,c	,,	,,	,,	,,	,,
skin_color	,,	,,c	,s,c	d,s,c	,,	,,	,,	d,s,c	,,	,,
waist_circ	d,s,c	,,	,,	,,	,,	,,	,,	,,	,,	,,
years_schooling	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
