	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,	,,	,,	,,	,,	,,	,,	d,,c	,,
birth_weight	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
bmi	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
dbp	,,	,,	,,	,s,	,,	,,	,s,	,,	,,	,,
fvc	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
hair_color	,,	,s,	,s,	d,s,c	d,s,c	,,	,,c	,s,	,s,	,,
hand_grip_strength	,,	,,	,,	d,s,c	,,	,,c	,,c	,,	,,	,,
height	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
hip_circ	,s,	,,	,,	,,	,,	,,	,,	,,	,,	,,
household_income	,,	,,	d,s,c	d,,	,,	,,	,,	,,	,,	,,
neuroticism_score	,,c	,,	,,	d,,c	d,s,c	,,	,,	d,,	,,c	d,s,c
overall_health	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,	,,c	,,	,,c
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
skin_color	,,	,,c	,,	d,s,c	,,c	,,	,,	d,s,c	,s,c	,s,c
waist_circ	d,s,c	,,	,,	,,	,,	,,	,,	,,	,,	,,
years_schooling	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
