	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,c	,,	,,	,,	,,	,,	,,	,,	,,
birth_weight	,,c	,s,c	,,	,,c	,,	,,	,,	,,	,,	d,s,c
bmi	,,	,,c	,,	,,	,,	d,s,c	,s,	,,	,,	,,
dbp	,,c	,,	,,	,,	,,	,,	,s,	,,	,,	,,
fvc	,,c	,,	,,c	,,	,,	,,	d,s,c	,,	,,	,,
hair_color	,s,c	,,c	,s,	d,s,c	,,	,s,c	d,s,c	d,s,c	d,s,c	,,
hand_grip_strength	,s,	,,	d,,	,,	,,	,,	,,	,,	,,	,,
height	,s,c	d,s,c	,s,	,,	d,,	,,	,,	,,	,,	,,
hip_circ	,,	,,	,,	,,	d,,	,,	,s,	,,	,,	,,
household_income	,s,c	d,s,c	,,	,,	,,	,,	,,	,,c	,,	,,
neuroticism_score	,,	,,	,,	,,	,,	,,	,,	d,s,c	,,	,,
overall_health	,,	,s,c	,,	,,	,,	,,	,,	d,,c	,,	,,
pack_years_smoking	,,	,,c	,,c	,,	,,	,,	,,	,,	,,c	,,
pulse_rate	,,	,,	,,c	d,s,c	,,	,,	,,	,,	,,	,,
skin_color	,,	,s,	d,s,c	d,s,c	,,	,,	,,	,,	,,	,,
waist_circ	,,	,,c	,,	,,	,,	,,	,s,c	,,	,,	,,
years_schooling	,,	,s,	,,	,,	,,	,,	,,	,,	,,	,,
