	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,	d,s,c	,,	,,	,,	,,	,,	,,	d,s,c
birth_weight	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
bmi	,,	,,	,,	,s,	,,	,,	,,	,,	,,	,,
dbp	,,	,,	,,	,,	,,	,,	,,	,,	d,,c	,,
fvc	,,	,,	,,	,,	,,	,,	,,	,,	,,	d,s,c
hair_color	d,s,c	,s,c	d,s,c	,,	,,	,s,	,,	,,	,,	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	,,	,,	,,	d,s,c
height	,,	,,	,s,	d,s,	,,	,,	,,	,,	,,	,,
hip_circ	,,	,,	,,	,,	,,	,,	,,c	,,	,,	,,
household_income	,,	,,	,,	,,	,,	,,	,,	,,	,,	d,s,c
neuroticism_score	,,	,,	,,	,,	,,	,,	d,,	,,	,,	,,
overall_health	,,	,,	,,	d,s,c	,,	,,	,,	,,	,,	,,
pack_years_smoking	,,	,,	,,c	,,	,,	,,	,,	,,	,,	,,
pulse_rate	,,	,,	,,	d,s,c	,,	,,	,,	,,	,,	,,
skin_color	,,	d,s,c	,,	d,s,c	,,	,,	,,	,,	,,	d,s,c
waist_circ	,,	,,	,,c	,,	,,	,,	,,	,,	d,s,c	,,c
years_schooling	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
