	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,s,	,,	,,	,,	,,	,,	,,	,,	,,	,,
birth_weight	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
bmi	,,	,s,	,,	,,	,,	,,	,s,c	,,	,,	,,
dbp	,,	,,	,,	,,	,,	,,	,s,c	,,	,,	d,s,c
fvc	,s,	,s,c	,s,	,,	,,	,,	,,	,,	,,	,,
hair_color	,s,c	,,	d,s,c	d,s,c	,,	d,s,c	d,s,c	,s,c	,,	,,
hand_grip_strength	,,c	,,	,,c	,,c	,,	,,	d,,c	d,s,c	,,	,,
height	,s,	d,,	d,s,c	,,	,,	d,s,c	,,	,,	,,	,,
hip_circ	,,	,,	,,	,,	,,	,,	,s,	d,,c	,,	,,
household_income	,,	d,s,c	,,	,,	,,	,,	,,	,,	,,	,,
neuroticism_score	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
overall_health	,,	,,c	,,	,,	,,	,,	,,	,,	,,	,,
pack_years_smoking	,,	,,c	,,c	,,	,,	,,	,,	,,	,,	,,
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
skin_color	,,	d,s,c	,,	d,s,c	,,	,,	,,	,,	,,	,s,
waist_circ	,,	,,	,,	,,	,,c	,,	,,	,,	,,	,,
years_schooling	,,	,,	,,	,,	,,c	,,	,,	,,	,,c	,,
