	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
birth_weight	,,	,,	,,	,,	,,c	d,,c	,,	,,	,,	d,s,c
bmi	,,c	,,	,,	,,c	,,	,,	,,	,,c	,,	,,
dbp	,,	,,	,,	,,	,s,	,,	,,	d,s,c	,,	,,
fvc	,,	,,	,,	,s,c	,s,c	,,	,,	,s,	,,c	,s,
hair_color	,,	,,	,,	,s,	,s,c	,,	,,	,s,c	d,s,c	,,
hand_grip_strength	,,	,,	,,	,,c	,s,	,,	,,	,,	,,	,,c
height	,,	,,	,,	,,	d,s,c	,,	d,s,c	d,,c	,,c	,s,
hip_circ	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
household_income	,,	,,	,,	,,	,s,c	,,	,,	,s,c	,s,	,,
neuroticism_score	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
overall_health	,,	,,c	,,	,,	,,	,,	,,	,,	,s,c	,,
pack_years_smoking	,,	,,	d,s,c	d,,	d,,	,,c	,,	,s,c	,,c	,,c
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
skin_color	,,	,,	,,	,,	,,	,,	,,	,s,c	,,c	,s,
waist_circ	,,	,,	,,	,,	,,	,,	,,	,,c	,,	,,
years_schooling	,,	,,	,,	,,	,,	,,	,,	,s,c	,,	,,
