	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,c	,,	,,	,,	,,	,,	,s,	,,	,,
birth_weight	,,	,,	,,	,,	,,	,,	,,	,,	d,s,c	,,
bmi	d,s,c	,,	,,	,,	,,	,,	,,	,,	,,	,,
dbp	,,	,,	,,	,s,	,,	,,	,,	,,	,s,	,,
fvc	,,	,,	,,	,,	,s,	,,	,,	,,	d,s,c	,,
hair_color	,,	,,	d,s,c	d,s,c	d,s,c	,,	,,	d,s,c	,,	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
height	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
hip_circ	d,s,c	,,	,,	,,	,,	,,	,,	,,	,,	,,
household_income	,,	,,c	,,	,,c	,,	,,	,,	d,s,c	,,	,,
neuroticism_score	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
overall_health	,,	,,	,,	,,	,,	,,	,,	,,	,,c	,,
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,c
skin_color	,,	,,	,s,c	d,s,c	,s,c	,,	,,	d,s,c	,,	,,
waist_circ	d,s,c	,,	,,	,,	,,	,,	,,	,,	,,	,,
years_schooling	,,	,,	,,	,,	,,	,,	,,	,,	d,s,c	,,
