	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,	,,	,,	d,,	,,	,,	,,	d,,c	,,
birth_weight	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
bmi	d,s,c	,,	,,	,,	,,	,,	,s,c	,,	,,	,,
dbp	,s,	,,	,,	,,	,,	,,	,s,	,,	,,	,,
fvc	,,	,,	,,	,,	,,	,,	,,	,,	d,,	,s,c
hair_color	,,	,,	,s,	d,s,c	d,s,c	,,	,,	,s,	,s,	,,
hand_grip_strength	,,	,,	,,	d,,	,,	,,	,,	,,	,,	,,
height	,,	,,c	,,	,,	,,	,,	,,	,,	,,	,,
hip_circ	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
household_income	,,	,,	d,s,c	d,s,c	,,	,,	,,	,,	,,	,,c
neuroticism_score	,,	,,	,,	,,	,,	,,	,,	,,	,s,c	,,
overall_health	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
skin_color	,,	,,	,s,	d,s,c	,,	,,	,,	d,s,c	,,	,,
waist_circ	d,s,c	d,,	,,	,,	,,	,,	,,	,,	,,	,,
years_schooling	,,	,,	,,	,,	,,	,,	,,	,,	,,c	,,
