	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,c	,,	,,	,,	,,	,,	,,	,,	,,
birth_weight	,,c	,s,c	,,	,,	d,,	,,	,,	,,	,,	d,s,c
bmi	,,	,,	,,	,,	,,	d,s,c	,,	,,	,,	,,
dbp	,,	,,	,,	,,	,,	,,	,s,	,,	,,	,,
fvc	,,c	,,	,,c	,,	,,	,,	d,s,c	,,	,,	,,
hair_color	d,s,c	,,c	,,	,s,	,,	,,	,s,c	d,s,c	d,s,c	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	,,	d,s,c	,,	,s,c
height	,s,c	d,s,c	,s,c	,,	,,	,,	,,	,,	,,	,,
hip_circ	,,	,,	,,	,,	,,	,s,	,,	,,	,,	,,
household_income	,,	d,s,c	,,c	,,	d,s,c	,,	,,	,,	,,	,,
neuroticism_score	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
overall_health	,,	,,	,,	,,	,,	,,	,,	d,s,c	,,	,,c
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pulse_rate	,,	,,	,,	d,s,c	,,	,,	,,	,,	,,	,,
skin_color	,s,	,s,	d,s,c	d,s,c	,,	,,	,,	,,	,,	,,
waist_circ	,s,	,,c	,,	,,	,,	,,	,s,c	,,	,,	,,
years_schooling	,,	,s,	,,	,,	,,	,,	,,	,,	,,	,,
