	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,c	,,	,,	,,	,,	,,	,,	,,	,,
birth_weight	,,c	,s,	,,	,,	d,,c	,,	,,	,,	,,	d,s,c
bmi	,,	,,c	,,	,,	,,	d,s,c	,,	,,	,,	,,
dbp	,,	,,	,,	,,	,,	,,	,s,	,,	,,	,,
fvc	,,c	,,	,,	,,	,,	,,	d,s,c	,,	,,	,,
hair_color	d,s,c	,,	,,	,s,	,,	,,	,s,c	d,s,c	d,s,c	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	,,	d,s,c	,,	,,
height	,s,c	d,s,c	,s,	,,	,,	,,	,,	,,	,,	d,,
hip_circ	,,	,,	,,	,,	,,	,,	,s,	,,	,,	,,
household_income	,,	d,s,c	,,	,,	,s,c	,,	,,	,,	,,	,,
neuroticism_score	,,	,,	,,	,,	,,	,,	,,	,,	,,	,s,
overall_health	,,	,,	,,	,,	,,	,,	,,	d,,c	,,	,,
pack_years_smoking	,s,	,,	,,	,,	,,	,,	,,	,,	,,c	,,
pulse_rate	,,	,,	,,	d,s,c	,,	,,	,,	,,	,,	,,
skin_color	,,	,s,	d,s,c	d,s,c	,,	,,	,,	,,	,,	,,
waist_circ	,,	,,c	,,	,,	,,	,,	,s,	,,	,,	,,
years_schooling	,,	,s,	,,	,,	,,	,,	,,	,,	,,	,,
