	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,	,,	,,	,,	,,	,,	d,s,c	,,	,,
birth_weight	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
bmi	,,	,,c	,,	,,	,,	,,	,,	,,	,,	,,
dbp	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
fvc	,,	,,	,,	,,	,s,	,,	,,	,,	,s,	,,
hair_color	,,	,,	d,s,c	d,s,c	d,s,c	,,	,,	d,s,c	,s,c	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
height	,,	,,	,,	,,	,s,	,,	,,	d,s,c	d,s,c	,,
hip_circ	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
household_income	,,	,,	,,	,,	,,	,,c	,,	,,	,,	,,
neuroticism_score	,,	,,	d,s,c	,,	,,	,,	,,	,,	,,	,,
overall_health	,,	,,	,,	,,	,,	,,	,,	,,	d,s,c	,,
pack_years_smoking	,,	,,c	,,	,,	,,	,,c	,,	,,	,,	,,
pulse_rate	,s,c	,,	,,	,,	,,	,,	,,	,,	,,	,,
skin_color	,,	,,	,s,	d,s,c	,s,	,,	,,	d,s,c	,,	,,
waist_circ	d,,c	,,	,,	,,	,,	,,	,,	,s,	,,	,,
years_schooling	,,	,,c	,,	,,	,,	,,	,,	,,	,,	,s,c
