	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	d,s,	,,	,,	,,	,,	,,	,,	,,	,,	,,
birth_weight	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
bmi	,,	,,	,,	,s,	,,	,,	,,	,,	,,	,,
dbp	d,s,c	,,	,,	,,	d,,	,,	,,	,,	,,	,,
fvc	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
hair_color	d,s,c	,s,c	d,s,c	,,	,,	,,	d,s,c	,,	,,	,,
hand_grip_strength	,,	d,,c	,,	,,	,,	d,s,c	,,	,,	,,	,s,
height	,,	,,	,s,	d,s,c	,,	,,	,,	,,	,,	,,
hip_circ	,,	,,	,,	,,	,,	,,	,,	,,	,s,	,,
household_income	,,	,,	,,	,s,	,,	,,	,,	,,	d,s,c	,,
neuroticism_score	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
overall_health	,,	,,	,,	,,	d,,	,,	,,	,,	,,	,,
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,	,,	,,	d,,c
pulse_rate	,,	,,	,,	d,,c	,,	,,	,,	,,	,,	,,
skin_color	,,	d,s,c	,,	d,s,c	,,	,,	,,	,,	,,	d,s,c
waist_circ	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
years_schooling	,,	,,	,,c	,,	,,	,,	,,	,,	,,	,,
