	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
birth_weight	,,	,,	,,	,,c	,,	d,s,c	,,	,,	,,	,,
bmi	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
dbp	,,	,,	,,	,,	,,	d,s,c	,,	,,	,,	,,
fvc	,s,c	,s,	,,	,,	,,	,,	,,	,,	,,	,,
hair_color	d,s,c	d,s,c	d,s,c	d,,	,,	,,	d,s,c	,,	,,	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	,,	d,,c	,,	,,
height	,s,	d,s,c	,s,c	,,	d,s,c	,,	,,	,,	,,	,,
hip_circ	,,	,,	,,	,,	,,	,,	,,	d,,	,,	,,
household_income	,,	,,	,,	,,	,,c	,,	,,	,,	,,	d,,c
neuroticism_score	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
overall_health	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	d,,	,,
skin_color	,,	d,s,c	,,	d,s,c	,,	,,	,,	,,	,,	d,s,c
waist_circ	,,	d,s,c	d,s,c	,,	,,	,,	,,	,,	,,	,,
years_schooling	,,	,,c	,,	,,	,,c	,,	,,	,,	,,	,,
