	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,c	,,	,,	,,	,,	,,	,,	,,	,,
birth_weight	,,	,s,c	,,	,,	,,	,,	,,	,,	,,	d,s,c
bmi	,,	,,	,,	,,	,,	d,s,c	,s,	,,	,,	d,,
dbp	,,c	,,	,,	,,	,,	,,	,s,	,,	,,	,,
fvc	,,c	,,	,,c	,,	,,	,,	d,s,c	,,	,,	,,
hair_color	d,s,c	,,c	,,	d,s,c	,,	d,s,c	d,s,c	d,s,c	d,,	,,
hand_grip_strength	,,	,,	d,,	,,	,,	,,	,,	,s,	,,	,,
height	,s,c	d,s,c	,s,	,,	d,,	,,	,,	,,	,,	,,
hip_circ	,,	,,	,,	,,	d,,	,,	,s,	,,	,,	,,
household_income	,,	,s,c	,,	,,	,,	,,	,,	,,	,,	,,
neuroticism_score	,,	,,	,,	,,	,,	,,	,,	d,s,c	,,	,,
overall_health	,,	,,	,,	,,	,,	,,	,,	d,,c	,,	,,
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pulse_rate	,,	,,	,,	d,s,c	,,	,,	,,	,,	,,	,,
skin_color	,,	,s,	,s,c	d,s,c	,,	,,	,,	,,	,,	,,
waist_circ	,,	,,c	,,	,,	,,	,,	,s,c	,,	,,	,,
years_schooling	,,	,s,	,,	,,	,,	,,	,,	,,	,,	,,
