	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,	,,	,,	,,	,,	,,	,,	,,c	,,
birth_weight	,,	,,	,,	,,	,,c	d,s,c	,,	,,	,,	,,
bmi	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
dbp	,,	,,	d,s,c	,,	,s,	,,c	,,	d,s,c	d,s,c	,,
fvc	,,	,,	,,	,,	,,	,,	,,	,,c	,,	,,
hair_color	,,	,,	,,c	,,	,s,c	,,	,,	,,	d,,	,,
hand_grip_strength	,,	,,	,,	,,c	,,	,,	,,	,,	,,	,,
height	,,	,,	,,	,,	,s,c	,,	d,s,c	d,s,c	,s,c	,s,
hip_circ	,,	,,	,,	,,	,,	,,	,,	,,	,s,	,,
household_income	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
neuroticism_score	,,	,,c	,,	,,	,,	,,	,,	,,	,,	,,
overall_health	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pack_years_smoking	,,	,,	d,s,c	d,s,c	d,s,c	,,c	,,	,,	,,	,,
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
skin_color	,,c	,,	,,	,,	,s,	,s,	,,	,,c	,,	,,
waist_circ	,,c	,,	,,	,,	,,c	,,	,,	,,	,,	,,c
years_schooling	,,	,,	,,	,,	,,	,,c	,,	,,	,s,c	,s,
