	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	d,s,c	,,	,,	,,	,,	,,	,,	,,	,,	,,
birth_weight	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,c
bmi	,,	,,	,,	d,,	,,	,,	d,s,c	,,	,,	,,
dbp	,,	,,	,,	,,	,,	,,	d,s,c	d,s,c	,,	,s,c
fvc	d,s,c	,,	,,	,,	,,	,,	,,	,,	,,	,,
hair_color	d,s,c	d,s,c	d,s,c	d,s,c	,,	d,s,c	d,s,c	d,,	,,	,,
hand_grip_strength	,,	,,	,,c	,,	,,	,,	,,	,,	,,	,,
height	d,s,c	d,s,c	d,s,c	,,	d,,	,,	,,	,,	,,	,,
hip_circ	,,	,,	,,	,,	,,	,,	,s,	,,	,,	,,
household_income	d,,	,s,c	,,	,s,c	,,	,,	,,	,,	,,	,,
neuroticism_score	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
overall_health	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pack_years_smoking	,,	,,c	,,	,,	,,	,,	,,	,,	,,	,,
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
skin_color	,,	d,s,c	,,	d,s,c	,,	,,	,,	,,	,,	d,s,c
waist_circ	,,	,,	,,	,,	,,	,,	,s,	,,	,,	,,
years_schooling	d,,c	,,	,,	,,	,,	,,	,,	,,	d,,c	,,
