	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,	,,	,,	,,	,,	,,	,,	d,,c	,,
birth_weight	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
bmi	d,s,c	,,	,,	,,	,,	,,	d,s,c	,,	,,	,,
dbp	,s,	,,	,,	,,	,,	,,	,s,	,,	,,	,,
fvc	,,	,,	,,	,,	,,	,,	,,	,,	d,,c	,s,
hair_color	,,	,,	,,	d,s,c	d,s,c	,,	,,	,s,	,s,	,,
hand_grip_strength	,,	,,	,,	d,,c	,,	,,	,,	,,	,,	,,
height	,,	,,	,,	,,	,,	,,	,,	,,	,,	,s,
hip_circ	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
household_income	,,	,,	d,s,c	d,s,c	,,	,,	,,	,,	,,	,,
neuroticism_score	,,	,,	,,	,,	d,,c	,,	,,	,,	,,	,,
overall_health	,,	,,	,,c	,,c	,,	,,	,,	,,	,,	,,
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
skin_color	,,	,,	,s,	d,s,c	,,	,,	,,	d,s,c	,,	,,
waist_circ	d,s,c	d,,	,,	,,	,,	,,	,,	,,	,,	,,
years_schooling	,,	,,	,,	,s,	,,	,,	,,	,,	,,	,,
