	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
alcohol_intake_freq	,,	,,	,,	,,	,,	,,	,,	,,	d,,	,,
birth_weight	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
bmi	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
dbp	,,	,,	,,	,s,	,,	,,	,s,	,,	,,	,,
fvc	,,	,,	d,,	,,	,s,	,,	,,	,,	,,	,s,
hair_color	,,	,,	,s,	d,s,c	d,s,c	,,	,,c	,s,	,s,c	,,
hand_grip_strength	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
height	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
hip_circ	,s,	,,	,,	,,	,,	,,	,,	,,	,,	,,
household_income	,,	,,	d,s,c	d,,c	,,	,,	,,	,,	,,	,,
neuroticism_score	,,	,,	,,	d,s,c	,,	,,	,,	,,	,,	d,s,c
overall_health	,,	,,	,,	,,c	,,	,,	,,	,,	,,c	,,
pack_years_smoking	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
pulse_rate	,,	,,	,,	,,	,,	,,	,,	,,	,,	,,
skin_color	,,	,,	,s,	d,s,c	,,	,,	,,	d,s,c	,,	,,
waist_circ	d,s,c	d,,	,,	,,	,,	,,	,,	,,	,,	,,
years_schooling	,,	,,	,,c	,,	,,	,,	,,	d,,	,,	,,
